,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10
end,1.0,6.0,4.0,2.0,2.0,3.0,9.0,5.0,8.0,7.0
means,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
times,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
pursuit,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ministers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
vengeance,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Ga●…,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hail,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
storm,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Su●…,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precipice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lightning,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
shafts,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
occasion,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
scorn,2.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,1.0,2.0
fury,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
seat,3.0,4.0,5.0,2.0,1.0,4.0,6.0,2.0,1.0,6.0
desolation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
light,3.0,6.0,11.0,4.0,7.0,3.0,5.0,0.0,0.0,4.0
livid,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tossing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
waves,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0
rest,5.0,4.0,3.0,6.0,3.0,4.0,5.0,4.0,5.0,8.0
Enemy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repair,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calamity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
